,"magnofl,orinea",CCOc1ccc2C[C@H]3c4c(CC[N]3(C)C)cc(OC)c(O)c4-c2c1O
,"(+),n-methylcorydine",CCOc1ccc2C[C@H]3c4c(CC[N]3(C)C)cc(OC)c(O)c4-c2c1OCC
,coptision,CCOc1ccc2cc3-c4cc(OCC)c(OCC)cc4CCn3cc2c1OCC
,Dihydrocorynantheine,CC[C@H]1CN2CCc3c([nH]c4ccccc34)[C@@H]2C[C@@H]1\C(=C/[O-]C)C(=O)OC
,hirsutine,CC[C@H]1CN2CCc3c([nH]c4ccccc34)[C@H]2C[C@@H]1\C(=C/[O-]C)C(=O)OC
,Dispegatrine,CC\C(=C/C)[C@H]1C[C@@H]2N(C)[C@@H](Cc3c2[nH]c2ccc(O)c(-c4c(O)ccc5[nH]c6[C@@H]7C[C@@H]8[C@H](CO)[C@H](Cc6c45)[N@@]7(C)C\C8=C/C)c32)[C@@H]1CO
,anemonin,CN1C=C(CC([O-])=[O-])[N](C)=C1
,corynoxeine,COC(=O)C(=C\[O-]C)\[C@H]1C[C@@H]2N(CC[C@]22C(=O)Nc3ccccc23)C[C@@H]1C=C
,geissoschizine methyl ether,COC(=O)C(=C\[O-]C)\[C@H]1C[C@@H]2N(CCc3c2[nH]c2ccccc32)C\C1=C/C
,Serpentine,COC(=O)C1=CO[C@@H](C)[C@@H]2C[N]3=CC=c4c5ccccc5[nH]c4=C3C[C@@H]12
,"lonijaposides,b",COC(=O)C1=CO[C@H](O[C@@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](C=C)[C@H]1\C=C\c1cc(cn(CCO)c1)C(O)=O
,"lonijaposides,a",COC(=O)C1=CO[C@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](C=C)[C@@H]1\C=C\c1cc(cn(CCCC(O)=O)c1)C(O)=O
,Serpentinine,COC(=O)[C@@H]1[C@@H]2C[C@H]3[C@@H]4Nc5ccccc5[C@H]4CCN3C[C@H]2[C@H](C)O[C@@H]1[C@@H]1[C@H]2[C@@H](C[N]3=C1c1[nH]c4ccccc4c1C=C3)[C@H](C)OC=C2C(=O)OC
,16beta-Hydroxy-19S-vindolinine N-oxide,COC(=O)[C@@]1(O)C[C@]23C=CC[N@@]4(O)CC[C@]5([C@H]24)c2ccccc2N[C@]15[C@H]3C
,Ariskanin A,COC(=O)c1cc(OC)c(OC)c2c1c(cc1ccccc21)N([O-])=O
,Methyl calvatate,COC(=O)c1ccc(cc1)[N](\[O-])=N\C#N
,"quercetin,3-o-glucoside_qt",COC1=C([O]=C2CC(O)=CC(O)=C2C1=O)c1ccc(O)c(O)c1
,Magnoflorine,CO[C@@H]1CC[C@H]2C[C@H]3[C@H]4[C@@H](CC[N]3(C)C)C[C@@H](OC)[C@@H](O)[C@@H]4[C@@H]2[C@H]1O
,Neoglucobrassicin_qt,CO[N]1=CC(C\C(S)=N\O[S+](O)(=O)=O)c2ccccc12
,thalidastine,COc1c(O)ccc2C=C3c4cc5OCOc5cc4[C@H](O)C[N]3=Cc12
,N-Methylplatydesmin,COc1c2C[C@H](Oc2n(C)c2ccccc12)C(C)(C)O
,5-methoxy-8-hydroxypsoralen,COc1c2ccoc2c(O)c2o[c+](=O)ccc12
,isopimpinellin,COc1c2ccoc2c(OC)c2o[c+](=O)ccc12
,phelloptorin,COc1c2ccoc2c(OCC=C(C)C)c2o[c+](=O)ccc12
,8-geranoxy-5-methoxypsoralen,COc1c2ccoc2c(OC\C=C(/C)CCC=C(C)C)c2o[c+](=O)ccc12
,Icariresinol,COc1cc(C[C@@]2(O)CO[C@@H](c3ccc(O)c(OC)c3)[C@]2(CO)CC([O-])=[O-])ccc1O
,hirsutin_qt,COc1cc(O)c2=CC(O)=C([O]=c2c1)c1cc(OC)c(O)c(OC)c1
,hirsutin,COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)c2=CC(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)=C([O]=c2c1)c1cc(OC)c(O)c(OC)c1
,toralac-tone-9-o-b-d-glucopyranoside,COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(O)c3c(cc(C)o[c+]3=O)cc2c1
,"toralactone,9-o-[beta-d-glucopyranosyl-(1-3)-o-beta-d-glucopyranosyl-(1-6)-o-beta-dglucopyranoside]",COc1cc(O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]4O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c2c(O)c3c(cc(C)o[c+]3=O)cc2c1
,"toralactone,9-o-beta-d-gentiobioside",COc1cc(O[C@@H]2[C@@H](CO)O[C@@H](OC[C@H]3O[C@@H](O)[C@H](C)[C@@H](C)[C@@H]3C)[C@H](O)[C@H]2O)c2c(O)c3c(cc(C)o[c+]3=O)cc2c1
,"9-[(beta-D-Glucopyranosyl-(1-6)-O-D-glucopyranosyl)oxy]-10-hydroxy-7-methoxy-3-methy-1H-naphthol[2,3-c]pyran-1-one",COc1cc(O[C@H]2O[C@@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c2c(O)c3c(cc(C)o[c+]3=O)cc2c1
,sinapine thiocyanate,COc1cc(\C=C\C(=O)OCC[N](C)(C)C)c(OC)cc1O
,sinapine,COc1cc(\C=C\C(=O)OCC[N](C)(C)C)cc(OC)c1O
,gomphrenin V,COc1cc(\C=C\C(=O)OC[C@H]2O[C@@H](Oc3cc4c(C[C@@H](C([O-])=[O-])\[N]4=C/C=C4/C[C@H](NC(=C4)C(O)=O)C(O)=O)cc3O)[C@H](O)[C@@H](O)[C@@H]2O)ccc1O
,petunidin,COc1cc(cc(O)c1O)C1=C(O)C=c2c(O)cc(O)cc2=[O]1
,petunidin 3-rhamnoglucoside,COc1cc(cc(O)c1O)C1=C(O[C@H]2O[C@@H](CO[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)C=c2c(O)cc(O)cc2=[O]1
,malvidin,COc1cc(cc(OC)c1O)C1=C(O)C=c2c(O)cc(O)cc2=[O]1
,"isorhamnetin,3-glucoside_qt",COc1cc(ccc1O)C1=C(O)C(=O)C2=C(O)C=C(O)CC2=[O]1
,"isorhamnetin,3-o-rutinoside_qt",COc1cc(ccc1O)C1=C(O)C(=O)C2=C(O)CC(O)=CC2=[O]1
,Laurifoline,COc1cc-2c(C[C@@H]3c4c(CC[N]3(C)C)cc(OC)c(O)c-24)cc1O
,groenlandicine,COc1cc2C3=[N](CCc2cc1O)C=c1c2OCOc2ccc1=C3
,Fenfangjine D,COc1cc2C=C[N](C)=C3Cc4ccc(OC)c(Oc5ccc(C[C@H]6N(C)CCc7cc(OC)c(Oc(c1O)c23)cc67)cc5)c4
,THALPHENINE,COc1cc2CC[N](C)(C)[C@H]3Cc4cc5OCOc5c5COc1c(c23)-c45
,Fuzitine,COc1cc2CC[N](C)(C)[C@H]3Cc4ccc(O)c(O)c4-c(c1OC)c23
,"1,3,4-Tridehydrofangchinolium hydroxide",COc1cc2CC[N](C)=C3Cc4ccc(OC)c(Oc5ccc(C[C@H]6N(C)CCc7cc(OC)c(Oc(c1O)c23)cc67)cc5)c4
,epiberberine,COc1cc2CC[N]3=C(C=c4ccc5OCOc5c4=C3)c2cc1OC
,Palmatine,COc1cc2CCn3cc4c(OC)c(OC)ccc4cc3-c2cc1OC
,litcubine,COc1cc2C[C@H]3c4cc(O)c(OC)cc4CC[N@@]3(C)c2cc1O
,phellodendrine,COc1cc2C[N@]3(C)CCc4cc(OC)c(O)cc4[C@H]3Cc2cc1O
,Isobrucine N-oxide,COc1cc2N3[C@H]4C(=CCC3=O)[C@H]3C[C@H]5[C@@]4(CC[N@@]5(O)C\C3=C/CO)c2cc1OC
,Brucine N-oxide,COc1cc2N3[C@H]4[C@@H]5[C@H](CC3=O)OCC=C3C[N@@]6(O)CC[C@]4([C@@H]6C[C@H]53)c2cc1OC
,bocconine,COc1cc2OCOc2c2C=[N](C)c3c(ccc4cc5OCOc5cc34)-c12
,"(2S)-4',4'-Dimethoxy-ongokein",COc1cc2O[H][O]=C3C[C@H](Oc(c1)c23)C1(O)CCC(CC1)(OC)OC
,(2S)-trans-4'-Hydroxy-ongokein,COc1cc2O[H][O]=C3C[C@H](Oc(c1)c23)C1(O)CCC(O)(O)CC1
,(2S)-cis-4'-Hydroxy-ongokein,COc1cc2O[H][O]=C3C[C@H](Oc(c1)c23)[C@]1(O)CC[C@H](O)CC1
,semiaquilegine A,COc1cc2[C@H](Cc3ccc(O)c(O)c3)[N](C)(C)CCc2cc1O
,Nitidine,COc1cc2cn(C)c3c(ccc4cc5OCOc5cc34)c2cc1OC
,codonopyrrolidium B,COc1ccc(cc1)[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)[N]1(C)C
,codonopyrrolidiums A,COc1ccc(cc1)[C@@H]1[C@@H](O)[C@H](OC(=O)C=C(C)C)[C@@H](CO)[N]1(C)C
,berberrubine,COc1ccc2C=C3c4cc5OCOc5cc4CC[N]3=Cc2c1O
,Tetrandrine-2'-N-alpha-oxide,COc1ccc2C[C@@H]3N(C)CCc4cc(OC)c(OC)c(Oc5cc6[C@H](Cc7ccc(Oc1c2)cc7)[N@@](C)([O-])CCc6cc5OC)c34
,Tetrandrine-2'-N-beta-oxide,COc1ccc2C[C@@H]3N(C)CCc4cc(OC)c(OC)c(Oc5cc6[C@H](Cc7ccc(Oc1c2)cc7)[N@](C)([O-])CCc6cc5OC)c34
,2'-N-Methyltetrandrinium,COc1ccc2C[C@@H]3N(C)CCc4cc(OC)c(OC)c(Oc5cc6[C@H](Cc7ccc(Oc1c2)cc7)[N](C)(C)CCc6cc5OC)c34
,Tetrandrine-2-N-beta-oxide,COc1ccc2C[C@H]3c4c(CC[N@]3(C)[O-])cc(OC)c(OC)c4Oc3cc4[C@H](Cc5ccc(Oc1c2)cc5)N(C)CCc4cc3OC
,(+)-2-N-Methylfangchinoline,COc1ccc2C[C@H]3c4c(CC[N]3(C)C)cc(OC)c(O)c4Oc3cc4[C@H](Cc5ccc(Oc1c2)cc5)N(C)CCc4cc3OC
,(-)-alpha-N-methylcanadine,COc1ccc2C[C@H]3c4cc5OCOc5cc4CC[N@@]3(C)Cc2c1OC
,N-Methyl canadine,COc1ccc2C[C@H]3c4cc5OCOc5cc4CC[N@]3(C)Cc2c1OC
,Dehydrocorydaline,COc1ccc2c(C)c3-c4cc(OC)c(OC)cc4CCn3cc2c1OC
,Berberine,COc1ccc2cc3-c4cc5OCOc5cc4CCn3cc2c1OC
,Berberastine,COc1ccc2cc3-c4cc5OCOc5cc4[C@H](O)Cn3cc2c1OC
,O-Methybalfourodinium (salt),COc1cccc2c(OC)c3C[C@@H](Oc3n(C)c12)C(C)(C)O
,Kumugansine B,COc1cccc2c1[nH]c1c3CCC[C@@H](c4ncc(OC)c5c4[nH]c4c(OC)cccc54)n3cc(OC)c21
,Debilic acid,COc1cccc2c1cc(N([O-])=O)c1c(CC(O)=O)cc3OCOc3c21
,Aristoloterpenate,COc1cccc2c1cc(N([O-])=O)c1c(cc3OCOc3c21)C(=O)O[C@H]1C\C(C)=C\CC\C(C)=C\CC\C(C=O)=C\1
,Aristolochic acid,COc1cccc2c1cc(N([O-])=O)c1c(cc3OCOc3c21)C(O)=O
,Kumugansine A,COc1cnc([C@@H]2CCCc3n2cc(OC)c2c3[nH]c3ccccc23)c2[nH]c3ccccc3c12
,"1H-benzocycloheptene,2,4a,5,6,7,8,9,9a-octahydro-3,3,5-trimethyl-9-methylene-,(4aS-cis)-",C[C@@H]1CCCC(=C)[C@H]2CC[C](C)(C)=C[C@@H]12
,"3-oxo-22-hydroxyurs-12-en-27,28-dioc acid",C[C@@H]1C[C@H](O)[C@@]2(CC[C@]3(C(O)=O)C(=CC[C@H]4[C@@]3(C)CC[C]3(C)(C)CC(=O)CC[C@]43C)[C@H]2[C@H]1C)C(O)=O
,cyanidin-3-rutinoside,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=Cc4c(O)cc(O)cc4[O]=C3c3ccc(O)c(O)c3)[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@H]1O
,Muscarine (II),C[C@@H]1O[C@H](C[N](C)(C)C)C[C@H]1O
,alisol B monoacetate,C[C@H](C[C@](O)(CC([O-])=[O-])[C@H]1OC1(C)C)C1=C2C[C@H](O)[C@@H]3[C@H](CC[C@H]4C(C)(C)C(=O)CC[C@]34C)[C@@]2(C)CC1
,Imperialine--N-oxide,C[C@H]1CC[C@H]2[C@@](C)(O)[C@H]3CC[C@H]4[C@@H]5CC(=O)[C@H]6C[C@@H](O)CC[C@]6(C)[C@H]5C[C@H]4[C@@H]3C[N@@]2(O)C1
,Muscarine (I),C[C@H]1O[C@@H](C[N](C)(C)C)C[C@@H]1O
,(E)-2-[(3-indole)cyanomethylene-]-3-indolinone,C[C](#N)C(=C1\Nc2ccccc2C1=O)\c1c[nH]c2ccccc12
,betaine,C[N](C)(C)CC(O)=O
,phosphatidylcholine,C[N](C)(C)CCO[P@@](O)(=O)OC[C@H](C[O-]C([*+])=[O-])[O-]C([*+])=[O-]
,"N,N-Dimethyltryptamine-methohydroxide",C[N](C)(C)CCc1c[nH]c2ccccc12
,Gramine methohydroxide,C[N](C)(C)Cc1c[nH]c2ccccc12
,hypaphorine,C[N](C)(C)[C@@H](Cc1c[nH]c2ccccc12)C(O)=O
,"N,N-Dimethyltryptamine-N-oxide",C[N](C)([O-])CCc1c[nH]c2ccccc12
,Gramine Nb-oxide,C[N](C)([O-])Cc1c[nH]c2ccccc12
,6-(2-methoxy-Z-vinyl)-7-methyl-pyranocoumarin,C[O-]\C=C/c1cc2ccc(=O)oc2cc1C
,2-nitro-1-phenyl-propene,C\C(=C/c1ccccc1)N([O-])=O
,"coumarin,glycoside",C\C(CC[C@H](OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O)C(C)(C)O)=C/COc1c2ccoc2cc2o[c+](=O)ccc12
,diversoside,C\C(CC[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(C)(C)O)=C/COc1ccc2cc[c+](=O)oc2c1
,deltoin,C\C=C(/C)C(=O)OC(C)(C)[C@@H]1Cc2cc3cc[c+](=O)oc3cc2O1
,Cycasin_qt,C\[N](O)=N/CO
,Cycasin,C\[N]([O-])=N\CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
,Neocrycasin G,C\[N]([O-])=N\CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O
,Neocrycasin A,C\[N]([O-])=N\CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H]1O
,Neocrycasin C,C\[N]([O-])=N\CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](OC[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H]2O)[C@H]1O
,Neocrycasin D,C\[N]([O-])=N\CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)[C@@H]3O)[C@@H]2O)[C@H]1O
,Neocrycasin E,C\[N]([O-])=N\CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
,Neocrycasin F,C\[N]([O-])=N\CO[C@@H]1O[C@H](CO[C@@H]2C[C@H](CO)[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O
,Neocrycasin B,C\[N]([O-])=N\CO[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O
,cyanidin 3-glucoside_qt,Cc1cc(O)c2C=C(O)C(=[O]c2c1)c1ccc(O)c(O)c1
,cyanidin 3-glucoside,Cc1cc(O)c2C=C(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(=[O]c2c1)c1ccc(O)c(O)c1
,nor-toralactone,Cc1cc2cc3cc(O)cc(O)c3c(O)c2[c+](=O)o1
,Sanguinarine,Cn1cc2c3OCOc3ccc2c2ccc3cc4OCOc4cc3c12
,amaranthin_qt,OC(=O)[C@@H]1C\C(=C\C=[N]2\[C@@H](Cc3cc(O)c(O)cc23)C([O-])=[O-])C=C(N1)C(O)=O
,betanin_qt,OC(=O)[C@H]1C\C(=C\C=[N]2/[C@H](Cc3cc(O)c(O)cc23)C([O-])=[O-])C=C(N1)C(O)=O
,isobetanin_qt,OC(=O)[C@H]1C\C(=C\C=[N]2\[C@@H](Cc3cc(O)c(O)cc23)C([O-])=[O-])C=C(N1)C(O)=O
,"aristolochic,acid,ii",OC(=O)c1cc2OCOc2c2c3ccccc3cc(N([O-])=O)c12
,cyanidol,OC1=C([O]=c2cc(O)cc(O)c2=C1)c1ccc(O)c(O)c1
,myricetin-3-o-glucopyranoside_qt,OC1=CC(O)=C2C(=O)C(O)=C([O]=C2C1)c1cc(O)c(O)c(O)c1
,isoquercetin_qt,OC1=CC(O)=C2C(=O)C(O)=C([O]=C2C1)c1ccc(O)c(O)c1
,"kaempferol,3-glucoside_qt",OC1=CC(O)=C2C(=O)C(O)=C([O]=C2C1)c1ccc(O)cc1
,"6,8-di-c-glucosylapigenin_qt",OC1=CC(O)=C2C(=O)C=C([O]=C2C1)c1ccc(O)cc1
,quercetin 3-o-rhamnopyranosyl_qt,OC1=CC2=[O]C(=C(O)C(=O)C2=C(O)C1)c1ccc(O)c(O)c1
,vitexin_qt,OC1=CC2=[O]C(=CC(=O)C2=C(O)C1)c1ccc(O)cc1
,anthocyanidin,OC1=Cc2c(O)cc(O)cc2[O]=C1c1c[c-][c-][c-]c1
,Delphin_qt,OC1=Cc2cc(O)c(O)cc2[O]=C1c1cc(O)c(O)c(O)c1
,"lonijaposides,c",OCCn1cc(\C=C\[C@H]2[C@@H](C=C)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)OC=C2C(O)=O)cc(c1)C(O)=O
,Delphinidin-3-monoglucoside,OC[C@@H]1O[C@@H](OC2=C([O]=c3cc(O)cc(O)c3=C2)c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O
,secologanoside,OC[C@@H]1O[C@H](O[C@@H]2OC=C([C@@H](CC([O-])=[O-])[C@H]2C=C)C([O-])=[O-])[C@@H](O)[C@H](O)[C@H]1O
,Shisonin,OC[C@@H]1O[C@H](Oc2cc(O)cc3[O]=C(C(O[C@@H]4O[C@@H](COC(=O)\C=C\c5ccc(O)cc5)[C@@H](O)[C@@H](O)[C@@H]4O)=Cc23)c2ccc(O)c(O)c2)[C@@H](O)[C@H](O)[C@@H]1O
,caffeylcyanin,OC[C@@H]1O[C@H](Oc2cc(O)cc3[O]=C(C(O[C@H]4C[C@H](O)[C@H](O)[C@H](COC(=O)\C=C\c5ccc(O)c(O)c5)O4)=Cc23)c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O
,Adoxosidic acid_qt,OC[C@H]1CC[C@H]2[C@@H]1[C@H](O)OC=C2C([O-])=[O-]
,delphinidin-3-glucoside,OC[C@H]1O[C@@H](OC2=C([O]=c3cc(O)cc(O)c3=C2)c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O
,pelargonidin-3-O-glucoside,OC[C@H]1O[C@@H](OC2=C([O]=c3cc(O)cc(O)c3=C2)c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
,Cyanin,OC[C@H]1O[C@@H](OC2=Cc3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)cc3[O]=C2c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O
,"Pelargonidin-3,5-diglucoside",OC[C@H]1O[C@@H](OC2=Cc3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)cc3[O]=C2c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
,"(E)-1-((E)-2-(2,6-dicarboxy-2,3-dihydropyridin-4(1H)-ylidene)ethylidene)-6-hydroxy-5-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yloxy)indolinium-2-carboxylate",OC[C@H]1O[C@@H](Oc2cc3C[C@@H](C([O-])=[O-])\[N](=C/C=C4\C[C@H](NC(=C4)C(O)=O)C(O)=O)c3cc2O)[C@H](O)[C@@H](O)[C@@H]1O
,gomphreninI,OC[C@H]1O[C@@H](Oc2cc3c(C[C@@H](C([O-])=[O-])\[N]3=C/C=C3\C[C@H](NC(=C3)C(O)=O)C(O)=O)cc2O)[C@H](O)[C@@H](O)[C@@H]1O
,"pelargonidin-3,5-di-O-glucoside",OC[C@H]1O[C@H](OC2=C([O]=c3cc(O)cc(O[C@H]4O[C@H](CO)[C@H](O)[C@@H](O)[C@H]4O)c3=C2)c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O
,Wild groundnut red,OC[C@H]1O[C@H](OC2=Cc3c(O)cc(O)cc3[O]=C2c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O
,"cyanidin 3,5-di-O-glycoside",OC[C@H]1O[C@H](OC2=Cc3c(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)cc3[O]=C2c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O
,"pelargonidin 3,5-di-O-glycoside",OC[C@H]1O[C@H](OC2=Cc3c(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)cc3[O]=C2c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
,Isostrychnine N-oxide (II),OC\C=C1/C[N@@]2(O)CC[C@@]34[C@@H]2C[C@@H]1C1=CCC(=O)N([C@H]31)c1ccccc41
,Isostrychnine N-oxide (I),OC\C=C1/C[N@]2(O)CC[C@@]34[C@@H]2C[C@@H]1[C@@H]1CCC(=O)N([C@H]31)c1ccccc41
,4-caffeoylquinic acid,O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1OC(=O)\C=C/c1ccc(O)c(O)c1)C([O-])=[O-]
,secologanoside_qt,O[C@@H]1OC=C([C@@H](CC([O-])=[O-])[C@H]1C=C)C([O-])=[O-]
,Cyanidin-3-monogalactoside,O[C@@H]1O[C@@H](OC2=Cc3c(O)cc(O)cc3[O]=C2c2ccc(O)c(O)c2)[C@@H](O)[C@H](O)[C@@H]1O
,3-O--(6-O-malonyl)-D-glucopyranoside,O[C@@H]1[C@@H](COC(=O)CC(O)=O)O[C@@H](OC2=Cc3c(O)cc(O)cc3[O]=C2c2cc(O)c(O)c(O)c2)[C@H](O)[C@H]1O
,awobanin_qt,O[C@@H]1[C@@H](COC(=O)\C=C/c2ccc(O)cc2)O[C@@H](OC2=Cc3c(O)cc(O)cc3[O]=C2c2cc(O)c(O)c(O)c2)[C@H](O)[C@H]1O
,malonyl awobanin,O[C@@H]1[C@H](COC(=O)CC(O)=O)O[C@@H](Oc2cc(O)cc3=[O]C(=C(O[C@H]4O[C@@H](COC(=O)\C=C\c5ccc(O)cc5)[C@@H](O)[C@H](O)[C@@H]4O)C=c23)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@H]1O
,malonylshisonin,O[C@@H]1[C@H](COC(=O)\C=C\c2ccc(O)cc2)O[C@@H](OC2=Cc3c(O[C@H]4O[C@@H](COC(=C)C(O)=O)[C@@H](O)[C@@H](O)[C@@H]4O)cc(O)cc3[O]=C2c2ccc(O)c(O)c2)[C@@H](O)[C@@H]1O
,nelumboside_qt,O[C@@H]1[C@H](O)[C@H](OC2=C([O]=C3CC(O)=CC(O)=C3C2=O)c2ccc(O)c(O)c2)O[C@H]([C@@H]1O)C(O)=O
,Neochlorogenic acid,O[C@H]1C[C@@](O)(C[C@@H](OC(=O)\C=C/c2ccc(O)c(O)c2)[C@@H]1O)C([O-])=[O-]
,"4,5-Dicaffeoylquinic acid",O[C@H]1C[C@@](O)(C[C@@H](OC(=O)\C=C/c2ccc(O)c(O)c2)[C@H]1OC(=O)\C=C\c1ccc(O)c(O)c1)C([O-])=[O-]
